id,text,label,Comments
86,"['kwanini', 'ligi', 'ya', 'tanzania', 'bara', 'inakua', 'kwa', 'kasi', 'bbc', 'news', 'swahili']",Eneo,
87,"['virusi', 'vya', 'corona', 'who', 'yaomba', 'tanzania', 'kutoa', 'takwimu', 'ya', 'walioambukizwa', 'corona', 'bbc', 'news', 'swahili']",Ugonjwa,
88,"['uchaguzi', 'kenya', '2022', 'je', 'wanamuziki', 'wana', 'ushawishi', 'gani', 'katika', 'siasa', 'za', 'kenya', 'bbc', 'news', 'swahili']",Tarehe,
89,"['virusi', 'vya', 'coronatanzania', 'yatangaza', 'masharti', 'mapya', 'ya', 'covid19', 'kwa', 'wasafiri', 'wa', 'kimataifa', 'bbc', 'news', 'swahili']",mtu,
90,"['kilo', 'ya', 'misumari', 'visu', 'na', 'komeo', 'na', 'bisibisi', 'vyaondolewa', 'ndani', 'ya', 'tumbo', 'la', 'mwanaume', 'lithuania', 'bbc', 'news', 'swahili']",Eneo,
91,"['tetesi', 'tano', 'kubwa', 'jioni', 'hii', 'bbc', 'news', 'swahili']",Tukio,
92,"['je', 'unafahamu', 'nini', 'kuhusu', 'afya', 'ya', 'akili', 'bbc', 'news', 'swahili']",Shirika,
93,"['je', 'watoto', 'wanaotokana', 'na', 'dna', 'za', 'watu', 'watatu', 'tofauti', 'wanahaki', 'ya', 'kujua', 'waliochangia', 'kuzaliwa', 'kwao', 'bbc', 'news', 'swahili']",mtu,
94,"['fahamu', 'dalili', 'za', 'magonjwa', 'manane', 'ya', 'figo', 'bbc', 'news', 'swahili']",sehemu ya mwili,
95,"['tetesi', 'za', 'soka', 'ulaya', 'jumatatu', '29052023', 'bbc', 'news', 'swahili']",Tarehe,
