id,text,label,Comments
51,"['kwanini', 'ligi', 'ya', 'tanzania', 'bara', 'inakua', 'kwa', 'kasi', 'bbc', 'news', 'swahili']",positive,
52,"['virusi', 'vya', 'corona', 'who', 'yaomba', 'tanzania', 'kutoa', 'takwimu', 'ya', 'walioambukizwa', 'corona', 'bbc', 'news', 'swahili']",neutral,
53,"['uchaguzi', 'kenya', '2022', 'je', 'wanamuziki', 'wana', 'ushawishi', 'gani', 'katika', 'siasa', 'za', 'kenya', 'bbc', 'news', 'swahili']",neutral,
54,"['virusi', 'vya', 'coronatanzania', 'yatangaza', 'masharti', 'mapya', 'ya', 'covid19', 'kwa', 'wasafiri', 'wa', 'kimataifa', 'bbc', 'news', 'swahili']",neutral,
55,"['kilo', 'ya', 'misumari', 'visu', 'na', 'komeo', 'na', 'bisibisi', 'vyaondolewa', 'ndani', 'ya', 'tumbo', 'la', 'mwanaume', 'lithuania', 'bbc', 'news', 'swahili']",neutral,
56,"['tetesi', 'tano', 'kubwa', 'jioni', 'hii', 'bbc', 'news', 'swahili']",neutral,
57,"['je', 'unafahamu', 'nini', 'kuhusu', 'afya', 'ya', 'akili', 'bbc', 'news', 'swahili']",neutral,
58,"['je', 'watoto', 'wanaotokana', 'na', 'dna', 'za', 'watu', 'watatu', 'tofauti', 'wanahaki', 'ya', 'kujua', 'waliochangia', 'kuzaliwa', 'kwao', 'bbc', 'news', 'swahili']",neutral,
59,"['fahamu', 'dalili', 'za', 'magonjwa', 'manane', 'ya', 'figo', 'bbc', 'news', 'swahili']",neutral,
60,"['tetesi', 'za', 'soka', 'ulaya', 'jumatatu', '29052023', 'bbc', 'news', 'swahili']",neutral,
61,"['virusi', 'vya', 'corona', 'jifunze', 'kufanya', 'mambo', 'haya', 'kwa', 'njia', 'ya', 'kisasa', 'hali', 'ya', 'kawaida', 'huenda', 'haitarejea', 'bbc', 'news', 'swahili']",negative,
62,"['tetesi', 'kubwa', '5', 'za', 'soka', 'ulaya', 'bbc', 'news', 'swahili']",neutral,
63,"['who', 'yapinga', 'vipimo', 'vya', 'utata', 'vya', 'ubikira', 'bbc', 'news', 'swahili']",neutral,
64,"['tiba', 'ya', 'homoni', 'kwa', 'wanawake', 'waliokoma', 'hedhi', 'ni', 'nini', 'hatari', 'na', 'faida', 'zake', 'bbc', 'news', 'swahili']",neutral,
65,"['tetesi', 'tano', 'kubwa', 'za', 'soka', 'ulaya', 'jioni', 'hii', 'bbc', 'news', 'swahili']",neutral,
66,"['jinsi', 'ya', 'kutunza', 'macho', 'yako', 'bbc', 'news', 'swahili']",neutral,
67,"['dalili', 'za', 'ugonjwa', 'wa', 'moyo', 'ambazo', 'simu', 'yako', 'inaweza', 'kugundua', 'bbc', 'news', 'swahili']",positive,
68,"['jinsi', 'kuzeeka', 'kwa', 'retina', 'kunavyoweza', 'kueleza', 'iwapo', 'una', 'hatari', 'ya', 'kifo', 'cha', 'mapema', 'au', 'la', 'bbc', 'news', 'swahili']",neutral,
69,"['marekani', 'na', 'pakistan', 'zimehitimisha', 'mazungumzo', 'ya', 'kupambana', 'na', 'ugaidi']",neutral,
70,"['kombe', 'la', 'dunia', '2022', 'jinsi', 'umoja', 'wa', 'familia', 'ulivyomsaidia', 'kylian', 'mbappe', 'kupata', 'umaarufu', 'bbc', 'news', 'swahili']",positive,
