"Title","Content"
"Ripoti ya Idara ya Takwimu kenya inasema uchumi umekuwa kwa asilimia 5.6","Ripoti ya Ofisi ya Takwimu kiwa mwaka 2024 imesema ajira rasmi iliongezeka kwa asilimia 4.1 huku kiwango cha watu kupata kazi katika sekta isiyo rasmi kiliongezeka kwa asilimia 4.5 mwaka jana.

Aidha Ripoti hiyo inaonyesha kuwa mfumuko wa bei za bidhaa wa kila mwaka ulibaki kuwa asilimia 7.7 mwaka 2023 hasa kutokana na bei ya juu ya nishati.

Mauzo ya nje kama vile chai, kahawa, maua na nguo, yalikua kwa asilimia 15.4 hadi shilingi trilioni 1.0, na uagizaji bidhaa kama vile ngano, mafuta, na chuma, uliongezeka kwa asilimia 4.9 hadi shilingi trilioni 2.6. Hata hivyo, usawazishaji wa biashara ulipungua kutoka shilingi trilioni 1.62 hadi shilingi trilioni 1.60 trilioni, ripoti hiyo inaonyesha.

Jumla ya deni la taifa lilipanda kwa asilimia 19.3 hadi shilingi trilioni 9.6 kufikia mwisho wa Juni 2023.

Ulipaji wa mishahara na marupurupu mengine ya wafanyakazi wake, serikali ya Kenya iligharamia shilingi bilioni 832.7 mwaka wa 2023, ikiwa ni ongezeko mwaka huo.

Hata hivyo, serikali ya rais William Ruto inatarajia mapato yake kuongezeka mwaka huu kwa asilimia 30.2 hadi shilingi trilioni 3.0, huku matumizi yake wakati huo yakitarajiwa kuongezeka kwa asilimia 26.6 hadi shilingi trilioni 4.0.

Mapato ya serikali za majimbo yanatarajiwa kuongezeka mwaka huu kwa asilimia 19.0% hadi shilingi bilioni 512 huku matumizi yake nayo yakitarajiwa kuongezeka kwa asilimia 35.4 hadi shilingi bilioni 562.3.

Mfuatiliaji wa uchumi wa Kenya ameiambia Sauti ya Amerika kuwa serikali inajipa mzigo mkubwa wa kuimarisha uchumi wake na maisha ya raia na kusema kuwa ripoti hii inaimanisha kuwa serikali inastahili kuweka mikakati ya kifedha inayolinda uchumi.

Naye Waziri wa Fedha Njuguna Ndung'u amesema raia wa Kenya wana matarajio mengi kutoka kwa serikali, na serikali ya Ruto inalenga kulinda ukuaji wa mageuzi ya kiuchumi kwa kuzingatia viashiria hivyo vya data.

Uchumi wa Kenya unategemea kilimo kinachochangia zaidi ya theluthi moja ya pato la taifa, na kutokana na kiwango kizuri cha mvua, sekta ya kilimo, ilinawiri kabisa kwa asilimia 7% na kuboresha mwelekeo wa uchumi wa Kenya mwaka 2023.

Imetayarishwa na Kennedy Wandera, Sauti ya Amerika, Nairobi."
"Wafanyakazi wadai mishahara na ajira za uhakika siku ya Wafanyakazi Duniani","Huko Afrika Mashariki sherehe mbali mbali zimefanyika ambako viongozi wa vyama vya wafanyakazi na wanaharakati wamedai nyongeza za mishahara na kazi za uhakika huku viongozi wakiahidi kuongeza nafasi za ajira.

Nchini Kenya sherehe rasmi zilifanyika katika uwanja wa Uhuru Gardens mjini Nairobi ambako Rais William Ruto ametowa wito kwa viongozi wa nchi watekeleza mpango wa maendeleo uliotangazwa na serikali yake kwa ajili ya wananchi.

""Tuko na mpango wa Housing, tuko na mpango wa Universal Health Coverage, tuko na kilimo, na mimi niliwaeleza kwamba bila ya kudanganyana kufanya maandamano kwa ajili ya njaa, njaa haiwezi kupotea. mpaka twende shambani, tulime chakula, chakula kipatikane kwa wingi ndio tutaweza kupunguza gharama ya unga na chakula.""

Nao wafanyakazi wa Tanzania wameeleza changamoto mbalimbali ambazo wamekuwa wakizipitia makazini na kubwa kati ya mambo wanaolalamika ni kuanzishwa kwa mpango wa kitita kipya cha bima ya afya kilichopelekea baadhi ya huduma kuondolewa katika mfuko huo pamoja na kuwepo na mpango mpya katika mifuko ya hifadhi ya jamii ambacho kinaelezwa kubana maslahi ya wastaafu.

Wafanyakazi hao wa Tanzania pia wamesema tangu utaratibu mpya wa kuhesabu mafao kuanza, umekuwa changamoto na kuelekeza kwamba wastaafu hulipwa asilimia 33 ya kiinua mgongo baada ya kustaafu, kutoka kiwango cha awali ambacho mstaafu alikuwa akilipwa asilimia 50 kwa awamu moja.

Suala ambalo linawafanya wastaafu wengi kulazimika kuishi maisha duni na kukata tama baada ya kustaafu kutokana na kupokea malipo hafifu ya kiinua mgongo.

Aidha katika kuadhimisha siku hiyo ya wafanyakazi, Tanzania imetoa ajira kwa wafanyakazi elfu 12 katika mradi wa Umeme wa Julius Nyerere (JNHPP) ulioko Rufiji mkoni Pwani.

Kupitia Mtandao wa X serikali ya Tanzania imesema asilimia 95 ya ajira hizo zimetolewa kwa wazawa na asilimia tano za wageni.

Katika nchi nyingine za Afrika Mashariki na kati wafanyakazi wamelalamikia mishahara midogo, ughali wa maisha na mazingira magumu ya kufanya kazi, wakiwataka viongozi wao kuongeza mishahara ili kuweza kukabiliana na maisha magumu yanayowakabili."
"Viongozi wa dunia wamkumbuka Rais wa Iran Ebrahim Raisi","Kwenye Baraza la Usalama la Umoja wa Mataifa wajumbe walinyamaza kimya kabla ya kuanza kikao cha asubuhi kama ilivyotokea mjini Doha, Qatar kwenye mkutano wa Jopo na Usalama na kwenye makao makuu ya Idara ya Atomiki ya Umoja wa Mataifa mjini Vienna.

Rais wa mwezi huu wa Mei wa baraza hilo Balozi wa Msumbuiji Pedro Comissario Afonso, aliwaomba ajumbe kusimama kimya “kukumbuka Raisi na ujumbe wake waliofariki katika ajali"" hiyo.

Viongozi mbali mbali wa duniani waendelea pia kutoa salama za rambirambi kutokana na kifo hicho wakiwemo viongozi wa Russia na China wakimtaja kiongozi huyo mhafidhina mwenye itikadi kali, kuwa ni rafiki wa karibu.

Rais wa China Xi Jimping amesema kifo chake cha kusikitisha ni hasara kubwa kwa watu wa Iran na watu wa China, wamepoteza rafiki mzuri.

Rais wa Russia Vladmir Putin alimsifu Raisi kama mwanasiasa mashuhuri na kusema kuwa kifo chake ni hasara isiyoweza kuzibwa.

Rais wa Baraza la Umoja wa Ulaya Charles Michael alisema katika taarifa kuwa umoja wa ulaya umetuma salam za rambirambi, na pole nyingi ziwafikie familia yake.

Miongoni mwa viongozi wa Afrika waliotuma rambirambi zao ni pamoja na Rais wa Tanzania Samia Suluhu Hassani, Rais William Ruto wa Kenya na mwenyekiti wa Tume ya Umoja wa Afrika Faki Mahamet.

Serikali ya Iran, imetangaza siku tano za maombolezo kufuatia ajali hiyo iliyosababisha vile vile kifo cha Waziri wa mambo ya Nje Hossein Amir Abdollahian.

Baadhi ya taarifa hizi zinatoka katika Shirika la habari la AFP na Reuters"
"Aliyekuwa Katibu mkuu wa EAC anatarajiwa kuhojiwa na Kamati ya sheria, haki, na hadhi ya bunge la Jumuiya hiyo","Dr. Mathuki ambaye aliteuliwa kuwa katibu mkuu wa jumuiya hiyo mwezi Mei 2021 na serikali ya nchi yake ya Kenya alitenguliwa na kupangiwa kazi nyingne na rais wa nchi hiyo mwezi Aprili mwaka 2024 baada ya baadhi ya wabunge kuwasilisha tuhuma zake katika kikao cha bunge hilo kilichokuwa kimekaa Nairobi Kenya.

Miongoni mwa tuhuma zinazomkabili Dr. Mathuki ni zile zinazohusishwa na matumizi mabaya ya ofisi, madaraka na mali za Jumuiya hiyo, tuhuma ambazo sasa zimefikishwa rasmi kwenye kamati ya sheria, haki na hadhi ya bunge hilo ambayo mwenyekiti wake Bw. Mashaka Ngole kutoka Tanzania amesema imeanza kuzifanyia kazi.

""Leo kama kamati tumekutana kwa lengo la kupata picha halisi kwamba hizo tuhuma uthibitisho wake uko wapi na kamati imepokea tuhuma kama zilivyowasilishwa na mpaka sasa hivi kamati haiwezi kusema lolote lakini tuhuma ni nyingi na ukizitazama zinazungumzia matumizi mabaya ya ofisi, masuala ya fedha, mambo ya uajiri ni mambo mengi yametajwa ambayo yanatuhitaji kutumia muda mwingi kuyapitia kwa kina.

Kwa mujibu wa Bw.Ngole katika utekelezaji wa majukumu hayo kamati inatarajia kuwashirikisha watu wote waliotajwa kushiriki katika mtandao huo akiwemo Mtuhumiwa mwenyewe Dr. Mathuki

Kwa kuwa ofisi zote zilizotajwa zina watu kamati italazimika kuwaita na kuwasikiliza juu ya hayo mambo yote yaliyotajwa kufanyika kwenye ofisi zao kwa hiyo wao ndio watatusaidia kutupatia ukweli halisi lakini tukimaliza hilo tutamuita pia mtuhumiwa Dr. Mathuki ili naye tumsikie.

Tuhuma dhidi ya katibu mkuu huyo ziliibuliwa na mbunge wa bunge hilo kutoka Sudan kusini Bw Kenned Mukulia ambaye pia ni amesema tatizo ni kubwa zaidi ya linavyoonekana na kwamba upo mtandao mkubwa na Ushahidi upo kwenye ripoti iliyowasilishwa kwenye kamati

Hili sio suala la katibu mkuu peke yake kuna watu wengine wengi wameshiriki kuwezesha na kufanikisha haya mambo yaani ni mtandao mkubwa

Kwa mujibu wa mwenyekiti wa Kamati hiyo pamoja na tuhuma za matumizi mabaya ya madaraka ofisi na mali za Jumuiya Dr. Mathuki ambaye kwa sasa serikali ya Kenya imemteua kuwa balozi pia anatuhumiwa kukiuka sheria za ajira za wafanyakazi na kwamba kamati hiyo baada ya kumaliza kazi yake itakabidhi ripoti kwenye Bunge la Jumuiya hiyo.

Licha ya baada ya Rais wa Kenya William Rutto kumuondoa Dr. Mathuki na kuteua Katibu mkuu mwingine hadi sasa bado hajaanza kazi na pia hajathibitishwa na ngazi zinazohusika ikiwemo ya wakuu wa nchi kama taratibu zinavyoelekeza.

Imeandaliwa na mwandishi wetu Asiraji Mvungi."
"Serikali ya Tanzania yasema wananchi walivamia eneo la uwanja wa ndege wa kimataifa wa Kilimanjaro (KIA)","Mgogoro huo unaohusisha baadhi ya vijiji vya wilaya za Hai na Arumeru ambavyo vimeelezwa kuingia katika eneo la uwanja huo hali inayopelekea uharibifu wa mazingira katika eneo la uwanja na kupelekea ugumu katika utuaji wa ndege.

Baadhi ya wanavijiji wamesema wao sio wavamizi wa eneo hilo kwakuwa wamelimiliki kwa muda mrefu na serikali ilikuwa imekwishapeleka huduma za kijamii ikiwemo huduma za shule na maji.

""Vijiji hivyo vimesajiliwa kwa mujibu wa sheria vijiji vina shule vina barabara vina umeme vina maji kama sisi ni wvamizi kwanini hawataki kutushitaki kuthibitisha kwamba sisi ni wa vamizi anaibuka tu mkuu wa mkoa ambaye anakuja kuwaita watu wavamizi ambao wapo kwenye vijiji vyao halali kuna wazee wanazaidi ya miaka 70 wamezaliwa pale."" alisema Ndasikoi.

Kwa mujibu wa Msemaji mkuu wa Serikali Mobhare Matinyi ameeleza kuwa eneo hilo lilianza kumilikiwa na serikali kabla ya mwaka 1969 likijulikana kama pori Tengefu la Sanya Lelatema na ilipofika mwaka 1989 eneo hilo lilipimwa rasmi kwa ramani ya upimaji likiwa na hekta 11,085.

Matinyi ameongezea kuwa wananchi wamehamishwa katika eneo hilo ili kuhakikisha panakuwa na uendeshaji salama wa uwanja wa ndege, na shillingi billioni 11.3 zimetengwa kwa ajili ya kulipa fidia wananchi waliokwisha endeleza maeneo yao.

Hata hivyo kwa upande wa wananchi ambao wamekwisha kubali kuhama katika maeneo yao wameitaka serikali kupeleka huduma za kijamii katika maeneo waliyohamia ikiwa ni pamoja na shule, maji na umeme kama anavyoeleza Richard Molinge ambaye ni Mwenyekiti wa kijiji cha Tingiliani Wilayani Hai.

Matinyi amemalizia kuwa kufikia April 30, 2024 jumla ya wananchi 1,666 kati ya 1,712 walikwishalipwa malipo yao yenye thamani ya shillingi bilioni 11.2 na wamekwishaondoka katika makazi yao kwa hiari."
"Kenya kuomboleza vifo kutokana na mafuriko kwa kupanda miti","Ruto amesema maombolezi yatafanyika kwa kupanda miti ili kusaidia katika kukabiliana na mabadiliko ya hali ya hewa.

Kenya, pamoja na nchi nyingine za Afrika Mashariki, zimekabiliwa na mafuriko ambayo yamepelekea zaidi ya watu 235,000 kuachwa bila makao na darzeni wanaishi katika kambi.

Rais Ruto vile vile ametangaza kufunguliwa kwa shule kote nchini, baada ya masomo kuahirishwa kwa wiki mbili kutokana na mvua kubwa na baadhi ya shule kuharibiwa na mafuriko.

Serikali ya Kenya imesema kwamba zaidi ya shule 1,000 zimeathiriwa kutokana na mafuriko hayo na pesa zimebajetiwa kwa ukarabati.

Watabiri wa hali ya hewa nchini Kenya wanasema kwamba mvua kiasi itaendelea kunyesha katika siku zijazo, katika sehemu kadhaa za nchi."
"Tanzania: Watetezi wa haki za binadamu wataka serikali ibuni sheria maalum ya ukatili dhidi ya wanawake","Huku watetezi hao wakisema sheria iliyopo bado ina mapungufu yanayoendelea kutoa nafasi ya wanawake kuendelea kufanyiwa ukatili.

Ukatili dhidi ya wanawake na wasichana ni miongoni mwa changamoto ambayo inaendelea kushuhudiwa sehemu mbali mbali nchini Tanzania, ukatili huo ukihusisha wa kimwili, kijinsia, kisaikolojia, na hata unyanyasaji wa wanandoa ambapo unaonekana kuongezeka.

Pili Shabani ni mkazi wa Kijichi Dar es Salaam ambaye aliishi na mume wake kwenye ndoa kwa miaka mitano na kulazimika kuivunja ndoa yake baada ya vitendo vya ukatili dhidi yake kukithiri ikiwemo kupigwa, unyanyasaji na vitendo vingine hapa anaeleza hali aliyopitia kwenye ndoa hiyo.

""Baada ya kama mwaka na nusu ndani ya ndoa mambo yalibadilika. mume wangu alikuwa ni mtu mkali sana, linapotokea tatizo kidogo alikuwa ni mtu ambaye atakukoromea sana, muda mwingine unakuta labda nimekosea katika kupika ananipiga ikafika mahali kwa kweli nikawa nimechoka vipigo, yaani ilikuwa inafika wakati kwamba... yaani nashindwa hata nielezee vipi ila ndoa ilinishinda kwahiyo nikaomba talaka nikarudi nyumbani kwetu,"" amesema Pili.

Kwa mujibu wa ripoti ya Mkurugenzi wa Uchunguzi wa Jinai (DCI) inaonyesha katika kipindi cha miaka mitano (2018-2022) nchini Tanzania wanawake 2,438 walipoteza maisha yao kutokana na ukatili ikiwa ni sawa na wanawake 492 kwa mwaka na wanawake 43 kwa mwezi huku kwa mwaka 2023 ukionyesha ongezeko la wanawake 53 wanaofariki kila mwezi hali inayoleta wasiwasi.

Kituo cha Sheria na Haki za Binadamu

Getrude Biabene ni Afisa mwandamizi wa masuala ya jinsia, wanawake, na watoto katika Kituo cha Sheria na Haki za Binadamu (LHRC) anaeleza sababu ambayo imepelekea kuwepo kwa ongezeko la vitendo vya mauaji ni kutokana na watu kupitia vitendo vya ukatili na kutotoa taarifa mapema pamoja na mifumo ya haki haitoi msaada wa haraka kwa wanaopitia vitendo vya ukatili.

Biabene anasema: ""Sababu ni watu kupitia vitendo vya ukatili na kutokutoa taarifa mapema kwahiyo inawapa nguvu wale wanaofanya vitendo hivyo kuhisi kwamba wapo salama na kuendelea kufanya zaidi kwahiyo hicho nacho kimekuwa changamoto, lakini kitu kingine kinachochangia mauaji ni mifumo yetu ya haki kutotoa msaada wa haraka kwa waathirika wa ukatili.""

Mifumo ya Haki inakabiliwa na Changamoto

Biabene anaongezea kuwa mifumo ya haki iliyopo nchini inashindwa kutoa msaada wa haraka kwa wanawake wanaopitia vitendo vya ukatili kutokana na kesi kutumia muda mrefu kusikilizwa pamoja na watuhumiwa kupewa ruhusa ya kutolewa dhamana pale wanapofikishwa katika vyombo vya dola suala ambalo linaongeza zaidi madhara ya ukatili.

Fundikira Wazambi ambaye ni mkuu wa kitengo cha utafiti kutoka Kituo cha Sheria na Haki za Binadamu amesema mfumo wa sheria kutokutoa msaada wa haraka umepelekea wananchi kuviona vitendo vya ukatili kama vitendo vya kawaida suala ambalo linaendelea kuongeza madhara zaidi kwa wanawake.

Wazambi ameeleza kuwa: ""Suala zima la ukatili limeanza kuonekana ni jambo la kwaida na hivyo inachangia kuendelea kutokea kwa vitendo vya kikatili na hatimaye kupelekea kutokea kwa mauaji, wengine wakiachwa wakiwa na ulemavu wa kudumu na majeraha mbalimbali katika mwili lakini pia vilevile tuna mapungufu katika sheria moja wapo ya vitu ambavyo tumekuwa tukipigia kelele ni kuwa na sheria maalumu ya masuala ya ukatili.""

Kukosekana kwa Takwimu

Hata hivyo changamoto nyingine inayoelezwa na Kituo cha Sheria na Haki za binadamu ni kukosekana kwa takwimu za jumla kutoka wizarani zinazo onyesha picha halisi ya kila mkoa ili kuweza kufahamu sehemu ambazo mauaji ya wanawake na ukatili umekithiri ili kuyapa kipaumbele katika kuyashughulikia.

Ujumbe wa Mkurugenzi wa Kituo cha Sheria

Suala ambalo Mkurugenzi wa Kituo cha sheria na haki za binadamu Anna Henga amesema kukoseka kwa takwimu za kila eneo inaleta ugumu katika namna ya kupambana na ukatili kutokana na kutofahamu maeneo gani yaliyoathirika zaidi pia inaleta ugumu katika ugawaji wa bajeti ya kushughulikia ukatili wa kijinsia.

Henga amesema: ""Kukosekana kwa takwimu inapelekea kushindwa kupanga bajeti mahususi kwa ajili ya kushughulikia tatizo unashindwa kulishughulikia tatizo inavyopaswa kama hujajua takwimu zake kwasababu unakuwa haujui tatizo kwa ukubwa wake na kwa uhalisia lakini serikali ikitoa takwimu yenyewe itatoa kwa kijiji kwa kijiji au kata kwa kata sasa ikitoa kata kwa kata maana yake hata serikali yenyewe itaweza kuweka bajeti mahususi kupambana na hilo tatizo.

Katika kuhakikisha serikali inapambana ipasavyo na mauaji ya wanawake pamoja na ukatili, watetezi wa haki za binadamu wanashauri kuundwa kwa sheria maalumu kwaajili ya kupambana na ukatili wa kijinsia itakayoelezea kwa upana masuala mazima ya ukatili kutokana na sheria iliyopo kuyaacha baadhi ya mambo ikiwemo mauaji ya wanawake kama anavyoeleza Biabene.

Biabene alieleza kuwa: ""Sheria ya ukatili wa kijinsia ni kitu ambacho kila siku tunasema tuwe na sheria maalum ya ukatili wa kijinsia itakayoweza kueleza kwa mapana na marefu masuala yote ya ukatili ambayo yapo yameelezwa kwenye sheria ya kanuni ya adhabu lakini yameelezwa kwa ufupi sana na kuna masuala mengi yameachwa ikiwemo haya masuala ya mauaji ya wenza yakae kabisa kwenye maalumu ya ukatili wa kijinsia au sheria ya ukatili wa majumbani.""

Henga amemalizia kwa kuitaka jamii kujenga mazoea ya kuripoti matukio ya ukatili mapema pale tu yanapojitokeza ili kusaidia kuzuia madhara zaidi na kutoa ushirikiano kwa jeshi la polisi pale wanapohitajika kutoa ushahidi ili kuhakikisha kila mtu anapata haki yake na inakuwa funzo kwa wengine.

Imetayarishwa na mwandishi wetu Amri Ramadhani, Dar es Salaam"
"Afrika Mashariki yaweka mikakati kukamilisha ujenzi wa reli ya SGR.","Mawaziri wa uchukuzi kutoka mataifa hayo wamekubaliana kwa pamoja kutafuta wafadhili na wajenzi wa reli hiyo, kurekebisha mkataba wa maelewano na kuhusisha mataifa ya DRC na Sudan Kusini na vile vile jinsi ya kugawana majukumu ya kulinda reli hiyo ya SGR.

Waziri wa uchukuzi nchini Uganda Fred Byamukama amesema wamechukua mkondo huu kupunguza gharama ya kufanya biashara kuimarisha uchukuzi na kuunganisha mataifa hayo na pia kupunguza uchafuzi wa mazingira.

Uganda imefikia hatua za mwisho za mkataba kati ya wafadhili kufanya ujenzi wa SGR kutoka Mpakani Malaba hadi mji mkuu Kampala.

Naye waziri wa Uchukuzi wa Kenya Kipchumba Murkomen amebainisha kwamba Kenya itarejea katika ujenzi wareli ya SGR kutoka Naivasha kwenda mpakani Malaba mwaka huu kwa kima cha dola bilioni 5.3 ambazo inakusudia kupata kutoka sekta ya kibinafsi.

Ujenzi wa SGR Afrika Mashariki umegawanywa kwa vipande, kutoka Naivasha mpaka Malaba kisha Uganda itaunganisha Malaba na Kampala, sehemu ya tatu ni kati ya Kampala , Bihanga Kasese - Mpondwe mpaka DR Congo sehemu ya nne ikiwa kati ya Bihanga mpaka Milima ya Mirama na kisha mji mkuu Kigali Rwanda, sehemu ya tano ni kati ya Tororo – Gulu, mpaka Sudan Kusini Pakwach na Vurra.

Rwanda inapojiunga na msukumo huu waziri wa uchukuzi Jimmy Gasore amesisitiza umuhimu wa ushirikiano ambao utaharakisha na kupunguza mzigo wa kujenga reli ya SGR na hivyo kuwa ya faida kwa mataifa hayo .

Katika mkutano huo pia waziri Murkomen na mwenzake wa Uganda Katumba Wamala waliidhinisha mkataba wa maelewano kati ya Kenya na Uganda kufadhili ujenzi wa SGR kati ya Naivasha Kisumu Malaba na pia Malaba hadi Kampala baada ya makubaliano mwaka 2023.

Mwaka 2014 mataifa ya Kenya Rwanda na Uganda yaliweka makubaliano kujenga reli ya SGR kutoka Mombasa , Kampala mpaka Kigali Rwanda lakini ujenzi huo alisimamishwa ghafla mfadhili mkuu China ilipokukataa kuendelea kuufadhili baada ya kukosa maelewano na Uganda."
"Ofisi ya rais Afrika Kusini yapokea vyema tangazo la mwendesha mashtaka wa Mahakama ya Kimataifa ya Uhalifu- ICC","Ofisi ya rais wa Afrika Kusini imesema Jumatatu imepokea vyema tangazo la mwendesha mashtaka wa Mahakama ya Kimataifa ya Uhalifu ikisema iliomba hati za kukamatwa kwa Waziri Mkuu wa Israel Benjamin Netanyahu, mkuu wake wa ulinzi na viongozi watatu wa Hamas kwa tuhuma za uhalifu wa kivita.

Sheria lazima itumike kwa usawa kwa wote ili kuzingatia utawala wa sheria za kimataifa, kuhakikisha uwajibikaji kwa wale wanaofanya uhalifu wa kutisha na kulinda haki za waathirika, ofisi ya Rais Cyril Ramaphosa ilisema katika taarifa yake.

Afŕika Kusini, ambayo ndio sauti inayoongoza katika kupigania haki za Wapalestina, pia imepeleka kesi dhidi ya Israel katika Mahakama ya Kimataifa ya Haki ikiishutumu kwa mauaji ya halaiki, ambayo Israel inakanusha.

Viongozi wa Israel na Hamas wamekanusha madai ya kufanya uhalifu wa kivita, na wawakilishi wa pande zote mbili wamekosoa uamuzi wa mwendesha mashtaka."
"Congo yawashutumu Wamarekani watatu kwa kuhusika katika shambulio dhidi ya Ikulu ya rais","Kulingana na maelezo rasmi ya matukio, watatu hao waliungana pasipo kutarajiwa chini ya uongozi wa kiongozi wa upinzani Christian Malanga, ambaye alijishughulisha na biashara ya uchimbaji dhahabu na magari yaliyotumika kabla ya kumshawishi mwanawe mzaliwa wa Utah kujiunga na jaribio la mapinduzi.

Watu sita, akiwemo Malanga, waliuwawa katika shambulio hilo mapema Jumapili na Wamarekani watatu walikuwa miongoni mwa darzeni ya watu waliokamatwa. Maafisa wanasema wanajaribu kufahamu ni jinsi gani mtoto wa Malanga mwenye umri wa miaka 21, Marcel, alivyotoka kucheza mpira shule ya sekondari hadi kudaiwa kujaribu kumn’goa madarakani kiongozi wa mojawapo ya nchi kubwa zaidi barani Afrika. Mama yake Marcel anasema mwanawe hana hatia.

Ubalozi wa Marekani mjini Kinshasa ulisema unafahamu raia wa Marekani huenda walihusika katika matukio ya Jumapili, akiongeza katika taarifa kwamba itashirikiana na mamlaka inapochunguza vitendo hivi vya uhalifu wa kikatili."
